country  ,city,neighborhood,name,description,gem_type  ,season,stay_duration  ,image_path  ,map_link  
New Zealand,Wanaka,Zone 2,Secret Spot 2 in Wanaka,"A natural hideaway in Wanaka, featuring breathtaking views.",Biking  ,Summer,72,https://example.com/world_sample.jpg,
Morocco,Chefchaouen,Zone 1,Secret Spot 1 in Chefchaouen,"A natural hideaway in Chefchaouen, featuring lush greenery.",Water  ,All Year,68,https://example.com/world_sample.jpg,
Morocco,Chefchaouen,Zone 2,Secret Spot 2 in Chefchaouen,"A natural hideaway in Chefchaouen, featuring breathtaking views.",Restaurant  ,Summer,88,https://example.com/world_sample.jpg,
new york,5 towns,,skywalk,amazing place,Viewpoint,Summer,45,,
israel,givaat zeev,,cafe yuda,nice and lovely food truck right on 443 highway.,Cafe,All year,45,,
israel,beit horon,,cafe yuda,bdika shel link,Cafe,All year,50,,https://l.instagram.com/?u=https%3A%2F%2Fwaze.com%2Ful%2Fhsv8vr6qfb%3Ffbclid%3DPAZXh0bgNhZW0CMTEAAaeH_jro-JMP6RkXCS2hIGIw9qIYP9UFBbRINaAfyQ2On4-lIp2RL2JgW5pQWA_aem__hoP_iG7LSln0Z_UScWtUg&e=AT1QlUjCJsi0s31FsG3IMZrHGMGshGO4QjzXGXAm0kPX4DuMVudwifPdrgoz6vQPoC8LbNpNg134bMSQJUmeyANNuxGrX-TUHR40dKkMr_QF340zXwIaZ5g
israel,beit horon,,,check 2,Cafe,Summer,80,,
israel,beit horon,,,check 4,Cafe,Summer,50,,
israel,beit horon,,,check 78979,Cafe,Summer,60,,
romania,suceava,valea putnei,mushroom and bluberries picking,lovely picking trail that can be perfect for an hour anf a half for all the family and all ages.   A nice local named Peter will guide to the deep of the forest to find you tasty little gems :),Trail,Spring,90,,
romania,suceava,valea putnei,special bike riding,"cool and unknown bike trail,  we found it by chance when we drove back to our stay home. the owners will take you to the beginning  spot and will guide you how to procontinue. the place called",Biking,Summer,130,,
romania,suceava,bukovina,almos,"ice cream truck on the highway 576 back to iasi area- perfect for a short refreshing stop in the middle of driving. put the name i google maps and  when you arrive go behind the gas station, it will be right there!",Cafe,All year,30,,
israel,beit horon,,,check,Cafe,Summer,20,,
